nohup: ignoring input
2026-08-19 01:24:25,325 | INFO | crypto_bot | Bot started | pair=ROBO-USDT | mode=monitor | equity=1000.00
2026-08-19 01:24:25,918 | INFO | crypto_bot.exchange_api | startup_self_check passed: {'time_drift': 'time_ok (drift=0.056s)', 'instrument_tradable': 'instrument_ok (inst_id=ROBO-USDT, state=live)', 'instrument_whitelist': 'whitelist_ok (inst_id=ROBO-USDT)', 'api_credentials': 'credentials_ok (account balance fetched, code=0)'}
2026-08-19 02:15:03,817 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:15:03.762000+00:00 price=0.01282000 size=901.70000000
2026-08-19 02:15:03,817 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:15:03.762000+00:00 price=0.01282000 size=604.90000000
2026-08-19 02:15:15,770 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:15:15.717000+00:00 price=0.01282000 size=296.80000000
2026-08-19 02:15:17,996 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:15:17.942000+00:00 price=0.01283000 size=2726.40000000
2026-08-19 02:15:55,844 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:15:55.791000+00:00 price=0.01283000 size=36951.60000000
2026-08-19 02:16:21,175 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:16:21.121000+00:00 price=0.01281000 size=1021.10000000
2026-08-19 02:16:21,175 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T02:15:00+00:00 o=0.01282000 h=0.01283000 l=0.01282000 c=0.01283000 v=42383.10000000
2026-08-19 02:16:21,175 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 02:16:30,772 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:16:30.717000+00:00 price=0.01281000 size=123.10000000
2026-08-19 02:17:07,819 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:17:07.766000+00:00 price=0.01280000 size=15633.80000000
